space_key,svg_present,svg_id,svg_tag,svg_data_name,building_label,floor_code,display_label,published_status,bookwhen_url,space_type,capacity,color_code,ada_note,legacy_notes,review_status
a6,yes,A6,rect,,Jupiter NEXT,L2,Booth A6,Published,https://bookwhen.com/voidtattoofest/e/ev-sowqg-20260522000000,STD10IN,2,Dark Blue,ADA accessible,,matched
a7,yes,A7,rect,,Jupiter NEXT,L2,Booth A7,Published,https://bookwhen.com/voidtattoofest/e/ev-syi48-20260522000000,STD10IN,2,Dark Blue,ADA accessible,,matched
a8,yes,A8,rect,,Jupiter NEXT,L2,Booth A8,Published,https://bookwhen.com/voidtattoofest/e/ev-srojz-20260522000000,STD10IN,2,Dark Blue,ADA accessible,,matched
a9,yes,A9,rect,,Jupiter NEXT,L2,Booth A9,Published,https://bookwhen.com/voidtattoofest/e/ev-syavx-20260522000000,STD10IN,2,Dark Blue,ADA accessible,,matched
aa,yes,AA,rect,,Jupiter NEXT,L2,Vendor AA,Published,https://bookwhen.com/voidtattoofest/e/ev-sxxhy-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
b,yes,B,rect,,Dream Tent,L1,Vendor B,Published,https://bookwhen.com/voidtattoofest/e/ev-s4fzp-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
bb,yes,BB,rect,,Jupiter NEXT,L2,Vendor BB,Published,https://bookwhen.com/voidtattoofest/e/ev-ssnh1-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
c,yes,C,rect,,Dream Tent,L1,Vendor C,Published,https://bookwhen.com/voidtattoofest/e/ev-sqrej-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
cc,yes,CC,rect,,Jupiter NEXT,L2,Vendor CC,Published,https://bookwhen.com/voidtattoofest/e/ev-sz5h5-20260522000000,VND10IN,1,Orange,ADA accessible,,matched
d,yes,D,rect,,Dream Tent,L1,Vendor D,Published,https://bookwhen.com/voidtattoofest/e/ev-sx3im-20260522000000,VND10TENT,1,Orange,ADA accessible under tent,,matched
